IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Official,Ethiopia,,ETB,19/08/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,20/08/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,21/08/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,24/08/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,25/08/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,26/08/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,27/08/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,28/08/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,31/08/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,01/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,02/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,03/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,04/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,07/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,08/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,09/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,10/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,11/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,14/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,15/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,16/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,17/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,18/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,21/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,22/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,23/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,24/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,25/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,28/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,29/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,30/09/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,01/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,02/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,05/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,06/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,07/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,08/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,09/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,12/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,13/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,14/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,15/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,16/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,19/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,20/10/1992,2.03,Trading Economics
Official,Ethiopia,,ETB,21/10/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,22/10/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,23/10/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,26/10/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,27/10/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,28/10/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,29/10/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,30/10/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,02/11/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,03/11/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,04/11/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,05/11/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,06/11/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,09/11/1992,4.9,Trading Economics
Official,Ethiopia,,ETB,10/11/1992,4.96,Trading Economics
Official,Ethiopia,,ETB,11/11/1992,4.96,Trading Economics
Official,Ethiopia,,ETB,12/11/1992,4.96,Trading Economics
Official,Ethiopia,,ETB,13/11/1992,4.96,Trading Economics
Official,Ethiopia,,ETB,16/11/1992,4.96,Trading Economics
Official,Ethiopia,,ETB,17/11/1992,4.96,Trading Economics
