Date,Official_Rate,Parallel_Rate,Parallel_Premium,Premium_Lag_1d,Premium_Lag_3d,Premium_Lag_7d,Official_SMA_7,Official_SMA_30,Parallel_SMA_7,Parallel_SMA_30,Premium_SMA_7,Days_Since_Adjustment,Official_Vol_7d,Parallel_Vol_7d,Price_Jump_Target
2023-06-29,54.5773,104.78672650441428,91.9969043987414,91.9177328756726,91.74858327113267,91.41468521556232,54.55421428571429,54.44446000000001,104.60175409018771,104.01823870922546,91.73904639409805,0,0.016068854868602267,0.13168951159017386,False
2023-06-30,54.5943,104.85032780880204,92.05361696880816,91.9969043987414,91.8036176840659,91.4607479329988,54.562085714285715,54.45413333333333,104.66306374334884,104.06694322772455,91.82374197064225,0,0.020400035051976302,0.13348870329284243,False
2023-07-01,54.5943,104.91446934013118,92.17110456610156,92.05361696880816,91.9177328756726,91.56819110310956,54.56995714285714,54.46326333333333,104.72516523735227,104.11657429809091,91.90987246535539,1,0.020725415766484522,0.13510695545704623,False
2023-07-02,54.5943,104.97906722710144,92.28942806685212,92.17110456610156,91.9969043987414,91.6775474929654,54.577828571428576,54.472033333333336,104.7879747008977,104.16713016686377,91.99728397591062,2,0.017272879971317177,0.13654425255720287,False
2023-07-03,54.6052,105.04403759841252,92.37002629495456,92.28942806685212,92.05361696880816,91.74858327113267,54.58562857142857,54.48116666666667,104.85140826268484,104.21860539165837,92.08606155074233,0,0.015121917289283422,0.13780058155103672,False
2023-07-04,54.6101,105.10929658276412,92.472265355244,92.37002629495456,92.17110456610156,91.8036176840659,54.59178571428572,54.49046333333333,104.9153820514134,104.27099084116567,92.18158264662493,0,0.01504708488234966,0.13887593158113612,False
2023-07-05,54.6205,105.17476030885597,92.55546966588726,92.472265355244,92.28942806685212,91.9177328756726,54.599428571428575,54.499563333333334,104.97981219578308,104.3242736951525,92.27268790236987,0,0.01390308296163152,0.13977029373619748,False
2023-07-06,54.6271,105.24034490538772,92.65226399605272,92.55546966588726,92.37002629495456,91.9969043987414,54.606542857142855,54.50853666666667,105.04461482449356,104.3784374444616,92.36631070198577,0,0.013425828045061578,0.14048366086169511,False
2023-07-07,54.6369,105.3059665010591,92.7378136407064,92.65226399605272,92.472265355244,92.05361696880816,54.612628571428566,54.51727666666667,105.10970606624457,104.43346189101152,92.46405308368551,0,0.016298948304681777,0.14101602741240593,False
2023-07-08,54.6369,105.37154122456982,92.85783275509743,92.7378136407064,92.55546966588726,92.17110456610156,54.61871428571429,54.525636666666664,105.1750020497358,104.4893231477967,92.56215711068492,1,0.016267803481867866,0.1413673893407559,False
